Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
,,,AC058822.1,2.51E-83,2.22,ELL2,1.27E-14,1.04,,,
,,,KLF12,5.90E-83,2.95,RBPMS,1.28E-14,0.92,,,
,,,ZNF708,2.37E-82,1.73,KLF6,2.20E-14,1.73,,,
,,,PLCB1,1.09E-81,1.62,FP236383.1,2.85E-14,1.20,,,
,,,RBMS3-AS3,1.38E-81,1.45,TMEM165,3.38E-14,1.00,,,
,,,EPS15,1.74E-81,1.51,TRIB1,3.68E-14,2.55,,,
,,,ENG,3.59E-81,2.30,ELOVL5,5.15E-14,1.23,,,
,,,COL6A3,4.66E-81,1.65,PIM3,1.16E-13,1.33,,,
,,,PPFIBP1,1.39E-80,2.04,AC007923.4,2.56E-13,1.54,,,
,,,MFAP5,8.51E-80,3.91,SDC4,4.94E-13,2.10,,,
,,,MKL1,1.02E-79,1.57,TUBB2A,5.27E-13,2.88,,,
,,,PDE10A,1.02E-79,3.51,IER2,7.75E-13,1.93,,,
,,,DENND2A,1.43E-79,2.93,HIF1A,7.85E-13,1.37,,,
,,,NGF,1.87E-79,2.07,SAA2-SAA4,9.02E-13,3.11,,,
,,,AP003086.2,4.77E-79,1.63,SBNO2,1.03E-12,1.57,,,
,,,CDK14,1.61E-78,1.61,YAP1,1.35E-12,1.00,,,
,,,TNXB,7.83E-78,3.36,PHC2,1.44E-12,1.48,,,
,,,ADAMTSL3,1.77E-77,2.94,FOXO3,1.49E-12,1.04,,,
,,,ATP8B1,3.52E-77,2.10,SRSF4,2.76E-12,0.84,,,
,,,FRMD4B,1.96E-76,3.36,ZFP36L2,3.27E-12,1.45,,,
,,,SSBP2,2.00E-76,1.54,STOM,1.41E-11,1.70,,,
,,,AC007319.1,2.10E-76,1.58,PGM3,2.09E-11,1.15,,,
,,,FN1,2.96E-76,3.10,PGS1,2.16E-11,1.51,,,
,,,SYN3,9.05E-76,2.26,B4GALT1,3.09E-11,1.49,,,
,,,CPQ,1.24E-75,1.61,FOS,4.61E-11,2.08,,,
,,,EVI5,1.84E-75,1.54,EFNA5,4.78E-11,0.89,,,
,,,STARD9,2.69E-75,3.12,SPRED1,4.79E-11,1.73,,,
,,,ELF1,2.82E-75,1.50,KHDRBS3,6.54E-11,2.08,,,
,,,ZFHX3,3.69E-75,1.47,VEGFA,6.84E-11,1.09,,,
