"pair"	"clusters"	"pvalue"	"mean"
"ADCYAP1_SCTR"	"CMC-like13|CMC-like13"	1	0
"SCT_SCTR"	"CMC-like13|CMC-like13"	1	0
"ADCYAP1_ADCYAP1R1"	"CMC-like13|CMC-like13"	1	0
"LGALS9_MET"	"CMC-like13|CMC-like13"	1	0
"LGALS9_LRP1"	"CMC-like13|CMC-like13"	1	0
"PDGFB_LRP1"	"CMC-like13|CMC-like13"	1	-3.15842936260448
"MDK_LRP1"	"CMC-like13|CMC-like13"	1	-3.19759995988516
"WNT3A_LRP1"	"CMC-like13|CMC-like13"	1	0
"LGALS9_CD47"	"CMC-like13|CMC-like13"	1	0
"SIRPA_CD47"	"CMC-like13|CMC-like13"	1	-3.49005085369569
"LGALS9_PTPRK"	"CMC-like13|CMC-like13"	1	0
"BMP7_PTPRK"	"CMC-like13|CMC-like13"	1	-0.123433941248279
"WNT5A_PTPRK"	"CMC-like13|CMC-like13"	1	-0.125006361067033
"LGALS9_SLC1A5"	"CMC-like13|CMC-like13"	1	0
"LGALS9_COLEC12"	"CMC-like13|CMC-like13"	1	0
"LGALS9_HAVCR2"	"CMC-like13|CMC-like13"	1	0
"LGALS9_SORL1"	"CMC-like13|CMC-like13"	1	0
"MDK_SORL1"	"CMC-like13|CMC-like13"	1	-6.38082178394093
"WISP3_SORL1"	"CMC-like13|CMC-like13"	1	-6.50635266602479
"LGALS9_MRC2"	"CMC-like13|CMC-like13"	1	0
"CER1_MRC2"	"CMC-like13|CMC-like13"	1	0
"PDGFB_PDGFRB"	"CMC-like13|CMC-like13"	1	0.375178479589612
"PDGFB_PDGFRA"	"CMC-like13|CMC-like13"	1	-6.50635266602479
"PDGFA_PDGFRA"	"CMC-like13|CMC-like13"	1	-4.79585928321977
"PDGFB_ADGRV1"	"CMC-like13|CMC-like13"	1	-6.05889368905357
"XCL1_ADGRV1"	"CMC-like13|CMC-like13"	1	0
"IFNE_ADGRV1"	"CMC-like13|CMC-like13"	1	0
"MDK_PTPRZ1"	"CMC-like13|CMC-like13"	1	-7.96578428466209
"PTN_PTPRZ1"	"CMC-like13|CMC-like13"	1	-5.32192809488736
