,FB1_na,FB1_pv,FB1_lo,FB2_na,FB2_pv,FB2_lo,FB3_na,FB3_pv,FB3_lo,FB4_na,FB4_pv,FB4_lo,FB5_na,FB5_pv,FB5_lo,FB6_na,FB6_pv,FB6_lo,FB7_na,FB7_pv,FB7_lo
66,NPAS3,1.1639742068090734e-29,0.5786528,CACNA2D3,3.9098858098510045e-76,1.288981,ITPKC,1.9344844396142324e-101,1.7683895,PDLIM7,1.537063527707591e-62,1.5133783,HLA-C,7.343664453059372e-30,1.2913193,FKBP5,7.646559079837658e-61,1.2192996,PLCL1,4.2644196077170666e-116,2.811801
67,COL6A1,2.3289575452745203e-29,0.24781354,PCOLCE2,1.2840021816046702e-75,0.76802975,GPRC5A,1.9833169727360695e-100,2.9506676,FRMD4A,1.6444466904589323e-62,0.84486204,LUM,3.9665615078060485e-29,0.98049563,LHFPL6,8.525037981230257e-61,1.1165844,NCAM1,2.6225095247569417e-114,3.7721548
68,DCLK1,3.04225665698961e-29,0.2584501,SLIT3,5.728680500331806e-75,0.97172564,NABP1,1.3523925175012571e-98,2.1408527,TANC2,4.613477858117541e-62,1.2703846,RPLP1,8.091781166388756e-29,1.0690559,MIR4435-2HG,3.583929490564138e-60,1.4829203,AC011287.1,1.3999711535792927e-111,3.3650696
69,TLL2,3.621608498716286e-28,1.6846571,LSAMP,7.88113253878757e-75,0.79385865,TMEM165,1.0436247902843809e-97,0.90045446,COL5A2,2.40201365847128e-61,0.68341196,SOD3,1.3068210822754991e-28,1.6314793,PTPRB,1.2644059246665815e-58,5.082355,PHACTR1,1.999171518071625e-111,3.1762714
70,MYL3,6.951726191935672e-26,1.1109536,TSHZ2,2.82126293431632e-74,0.5544538,H3F3B,1.0672523023342489e-97,0.83236337,GMDS,3.177088577530016e-61,1.2566102,CYP4B1,1.8978899427481473e-28,1.5651125,PPP1R12A,1.5957894397692996e-58,1.2275048,MYH7B,1.5085512892324435e-110,4.4436765
71,PRR16,4.663989974948527e-25,0.6150645,EHBP1,5.538797475694428e-68,0.61004925,HIVEP2,1.1504969419914518e-95,1.2108771,HEYL,4.7893297308420385e-61,1.1073263,TIMP2,1.9709915052997839e-28,1.1742696,EGFL7,6.539642449477615e-58,3.8299358,CHRM2,5.221343027104858e-109,4.3160453
72,PCDH9,5.548284863503795e-25,0.23905553,PPP3CA,1.2761021451615984e-66,0.60674244,PLPP3,2.0314657361854428e-95,1.2424042,CYR61,2.2440590107386142e-60,1.152132,LDHA,8.723977604387493e-28,1.1907619,SLC38A2,7.002213219704995e-57,1.244523,PDZRN3,5.529582016936299e-105,2.5895998
73,MTUS1,5.749590043503995e-25,0.485732,TLN2,6.269483482572184e-66,0.6945973,CEBPD,6.524499193726376e-92,0.8562132,PPFIBP1,4.63614697863303e-60,0.75183505,KLF4,4.018053680957566e-27,2.1415095,TNRC6A,7.793532632185158e-56,1.1515112,FRY,6.5140496385430625e-105,2.4410636
74,NID2,1.3034334987522745e-23,0.8483529,ITSN1,6.432717282908084e-65,0.8782997,IFI16,6.996178217271346e-92,1.041207,HSPB1,1.940980000918271e-59,1.0447905,ZBTB7C,4.018053680957566e-27,1.9462374,FRYL,1.3191108527418517e-55,1.2807667,C15orf41,2.4063041458838878e-104,3.1982462
75,MIR99AHG,1.7955332225198654e-23,0.17518792,SHROOM3,5.886601405296821e-64,1.2695179,CHSY1,1.7705740000985773e-91,1.5409617,PSD3,1.940980000918271e-59,0.73619676,MT-ND4,1.301601267411553e-26,1.1036313,NID1,5.043012853833485e-55,1.118023,CCSER1,1.034678976377569e-102,3.595815
