stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage3_Quads,CTCF+CREB1+JUND+SP3,4,3.7029,3.7595,0.2122,0.2126,0.00368,0.00368,-0.00242,0.06017,-0.0058,0.0013,0.00047,0.07588,0.01729,0.00225,0.1418,COMPUTED_HCA_5307_vCM_RIDGE_GRN,161.0
Stage3_Quads,CTCF+HIF1A+YY1+NFIC,4,3.7027,3.7842,0.3603,0.3678,-0.00085,-0.00085,0.00152,0.0745,0.00012,0.00293,0.00751,0.13041,0.01278,0.00551,0.1469,COMPUTED_HCA_5307_vCM_RIDGE_GRN,162.0
Stage3_Quads,CTCF+REL+SP3+NFIC,4,3.6857,3.707,0.358,0.3484,-0.00247,-0.00247,-0.00033,0.06522,-0.00559,0.00657,0.00449,0.0828,0.00612,0.00361,0.1502,COMPUTED_HCA_5307_vCM_RIDGE_GRN,163.0
Stage3_Quads,CREB1+HIF1A+YY1+NFIC,4,3.683,3.7908,0.2128,0.2193,0.00122,0.00122,-0.00258,0.03618,0.00016,0.00386,0.00767,0.08282,0.02441,0.00722,0.1422,COMPUTED_HCA_5307_vCM_RIDGE_GRN,164.0
Stage3_Quads,CTCF+CREB1+YY1+NFIC,4,3.678,3.719,0.243,0.2239,0.00117,0.00117,-0.00285,0.07143,0.00012,0.00321,0.00373,0.09768,0.02936,0.00428,0.1459,COMPUTED_HCA_5307_vCM_RIDGE_GRN,165.0
Stage3_Quads,CTCF+HIF1A+YY1+SP3,4,3.6451,3.7417,0.3383,0.3552,9e-05,9e-05,-0.00064,0.07134,-0.00555,0.00197,0.00519,0.13305,0.00714,0.00423,0.1437,COMPUTED_HCA_5307_vCM_RIDGE_GRN,166.0
Stage3_Quads,HIF1A+REL+YY1+SP3,4,3.6407,3.7349,0.3035,0.3215,-0.00032,-0.00032,-0.00329,0.02697,-0.00556,0.00589,0.00507,0.09771,0.0101,0.00418,0.1482,COMPUTED_HCA_5307_vCM_RIDGE_GRN,167.0
Stage3_Quads,CREB1+HIF1A+YY1+SP3,4,3.6339,3.7569,0.192,0.2078,0.00216,0.00216,-0.00476,0.03347,-0.00554,0.00291,0.00535,0.08589,0.01854,0.00594,0.14,COMPUTED_HCA_5307_vCM_RIDGE_GRN,168.0
Stage3_Quads,HIF1A+REL+JUND+NFIC,4,3.6324,3.712,0.2825,0.3011,0.00048,0.00048,0.00088,0.00826,-0.00125,0.00582,0.00612,0.05724,0.00856,0.00448,0.1367,COMPUTED_HCA_5307_vCM_RIDGE_GRN,169.0
Stage3_Quads,MITF+YY1+SP3+NFIC,4,3.6253,3.7091,-0.1077,-0.1076,0.0027,0.0027,0.00433,0.03052,-0.00558,0.00172,0.0047,0.04557,0.01379,0.00381,0.1846,COMPUTED_HCA_5307_vCM_RIDGE_GRN,170.0
