source,target,coef
FAAP20,RPLP1,0.363518888668775
FAAP20,RPS15,0.36596687085563023
FAAP20,FAU,0.36837280625955277
AL590822.1,ODF1,0.4833886767823655
AL590822.1,AC010420.1,0.4833886767823664
AL590822.1,AP002761.3,0.4926438993047101
AL590822.1,FLT3,0.8127033286646621
AL590822.1,AC079950.1,0.8162525911089831
SKI,GYG2,0.24355986673116597
SKI,ACACB,0.25324571005266294
SKI,PTPRF,0.2548475950308835
SKI,GSE1,0.2563505667497151
SKI,DGAT2,0.2563565185574188
MORN1,ZNF638,0.12513404833760303
MORN1,PRKG1,0.12583297883986563
MORN1,LAMA2,0.12723888765293004
MORN1,FTX,0.13231922278252367
MORN1,ZBTB20,0.13523035817036821
RER1,RPLP1,0.32235769439243195
RER1,RPL10,0.32290355310540786
RER1,RPL8,0.32329355117077707
RER1,FAU,0.32441002204373254
RER1,CD63,0.33573988775202734
PEX10,RBFOX2,0.10243636817639493
PEX10,FAF1,0.10311378672217963
PEX10,ZBTB20,0.10470486780855531
PEX10,TNRC6A,0.10472292191678675
PEX10,LRRFIP1,0.10620372457734135
PLCH2,XCL1,0.1745014653035893
PLCH2,LINC00996,0.18693202156228708
PLCH2,AL596451.1,0.18710408220712887
PLCH2,NECTIN3-AS1,0.18761595195470196
PLCH2,XCL2,0.21753966584933157
PANK4,LDHB,0.09320954270661734
PANK4,MGST3,0.09367300631502132
PANK4,BSG,0.09382328609068652
PANK4,ATP5F1B,0.09672596791511719
PANK4,EIF1B,0.10609713278924898
HES5,TM4SF1,0.2225765803106602
HES5,A2M,0.2242646656651333
HES5,EFNB2,0.23952803913233675
HES5,EPAS1,0.24784778684051742
HES5,IGFBP3,0.28720562351038786
AL139246.5,H3F3A,0.16221281832035808
AL139246.5,RPS27,0.16660438642500658
AL139246.5,COX6A1,0.16714869088766085
AL139246.5,FAU,0.16751841628080175
AL139246.5,RPL38,0.16758214971337482
TNFRSF14-AS1,HLA-E,0.1492486056672128
TNFRSF14-AS1,CLEC14A,0.15089520349438856
TNFRSF14-AS1,GNG11,0.15212786257369906
TNFRSF14-AS1,SRP14,0.1536414662686111
TNFRSF14-AS1,IFI27,0.154573443854174
TNFRSF14,HLA-B,0.29755339423172794
TNFRSF14,HLA-E,0.30597138401701174
TNFRSF14,B2M,0.30997228775919006
TNFRSF14,HLA-A,0.3116421971219415
TNFRSF14,HLA-C,0.31693056971773254
AL139246.3,S1PR1,0.08946639935993111
AL139246.3,IGFBP3,0.09215681826016586
AL139246.3,AC068790.9,0.09860101462781762
AL139246.3,HOXA1,0.09860101462781778
AL139246.3,CXCL5,0.1489712276006264
FAM213B,IFITM3,0.14197224462969069
FAM213B,RPS28,0.14364559910145355
FAM213B,TAGLN2,0.14525778846494786
FAM213B,TMSB10,0.14600211186226186
FAM213B,MYL12B,0.14867113825198877
MMEL1,CYTL1,0.1056245630365019
MMEL1,HBA2,0.106104510672115
MMEL1,AL024507.2,0.10756576293312585
MMEL1,HBA1,0.11485869299765138
MMEL1,CYP26C1,0.15977127908890618
TTC34,SEMA3E,0.10306737071381501
TTC34,AP000959.1,0.10836906106179817
TTC34,LINC02327,0.11068614360767629
TTC34,AC116616.1,0.11850682921382415
TTC34,ANGPTL6,0.12963576444438896
LINC00982,FHOD3,0.16474236557848906
LINC00982,SLC8A1-AS1,0.16593708751250147
LINC00982,CTNNA3,0.17553775920265136
LINC00982,FHL2,0.1777405710539898
LINC00982,ABLIM1,0.17984323010207132
PRDM16,FHOD3,0.477271763254687
PRDM16,RYR2,0.4786098462903468
PRDM16,CTNNA3,0.49082254158390193
PRDM16,ABLIM1,0.49097168362877947
PRDM16,FHL2,0.49180724325844244
AL590438.1,AC000124.1,0.12368728345420843
AL590438.1,LINC02314,0.13837330608791185
AL590438.1,AL136379.1,0.13837330608791198
AL590438.1,SPINK14,0.13837330608791223
AL590438.1,LINC01854,0.24791934132429613
ARHGEF16,ACACA,0.1312222635399568
ARHGEF16,AC131009.2,0.1370868179687067
ARHGEF16,AC113192.5,0.15252685416314596
ARHGEF16,THRSP,0.15494734640096267
ARHGEF16,ME1,0.1650863009888174
MEGF6,AC025575.2,0.14200795439695918
MEGF6,ELN,0.1421228301489789
MEGF6,IGF1,0.1470093565320264
MEGF6,AOX1,0.1499025246444951
MEGF6,GPC6,0.20397202531090977
AL513320.1,GTSE1-DT,0.10885083754866338
AL513320.1,AP000873.3,0.11858017858017376
AL513320.1,GREM2,0.12172956222439948
AL513320.1,AC126175.1,0.12363677252520908
AL513320.1,AC011498.1,0.14470345127322498
TPRG1L,ITM2B,0.21132696101033413
TPRG1L,CALM1,0.21540395036728627
TPRG1L,SRP14,0.21722516706259457
TPRG1L,HLA-C,0.21864776092973778
TPRG1L,HLA-E,0.22274225805225778
WRAP73,TMSB10,0.12791675610621814
WRAP73,HNRNPA2B1,0.12899268931232458
WRAP73,SUMO2,0.12925899193711396
WRAP73,FAU,0.12994236018222494
WRAP73,CALM1,0.13019216423477184
TP73,AC092691.1,0.20384051556131233
TP73,AC138894.1,0.20439471357831318
TP73,AC007240.1,0.22929559894806972
TP73,AURKB,0.27454071917131456
TP73,FAM111B,0.3275669445019143
AL136528.1,AC112721.2,0.21804327336007492
AL136528.1,CILP,0.24221970055649106
AL136528.1,AC008592.5,0.25805685227294284
AL136528.1,AL359555.1,0.2884820171889979
AL136528.1,SPRN,0.2885524262788449
CCDC27,GOLGA6L2,0.1177257458741342
CCDC27,AC018554.3,0.132148436202345
CCDC27,AL138812.1,0.13214843620234507
CCDC27,AC002094.2,0.17730637217883544
CCDC27,AP001189.3,0.20500989069287243
SMIM1,S100A1,0.15039185740316754
SMIM1,CRYAB,0.15361279208457612
SMIM1,MYL4,0.15627524015110494
SMIM1,UQCRB,0.15818494411410958
SMIM1,MB,0.16690561391112038
LRRC47,IFITM3,0.1494088328295075
LRRC47,TXNIP,0.14947291519832193
LRRC47,CNBP,0.15316035039409473
LRRC47,HLA-E,0.15410839940693824
LRRC47,ITM2B,0.15872894922356476
CEP104,PNISR,0.1135222662231292
CEP104,RERE,0.11484685721863892
CEP104,SON,0.11805962319506633
CEP104,DDX17,0.12035891475955958
CEP104,NFIA,0.12259322516011457
