source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	dorothea_level	curation_effort
Q14469	P08151	HES1	GLI1	True	True	True	False	False	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;ExTRI2_CollecTRI2;HTRIdb_DoRothEA	HTRIdb:21169257;DoRothEA:21169257;CollecTRI2:27422204;CollecTRI2:21169257;CollecTRI:21169257	D	5
Q02556	P04839	IRF8	CYBB	True	True	False	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;SIGNOR_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;SIGNOR_CollecTRI;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;ARACNe-GTEx_DoRothEA;HTRIdb_DoRothEA	CollecTRI2:18089853;DoRothEA:9593745;TRRUST:9593745;CollecTRI2:9593745;CollecTRI2:11483597;CollecTRI2:10570299;CollecTRI:9593745;HTRIdb:9593745;CollecTRI:11483597	A	9
Q02556	P05019	IRF8	IGF1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19103645;DoRothEA:19103645;HTRIdb:19103645;CollecTRI2:19103645	D	4
Q06330	P19838	RBPJ	NFKB1	True	True	False	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;HTRI_CollecTRI;TFactS_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:11591772;CollecTRI2:14570916;CollecTRI2:11591772;TRRUST:14570916;DoRothEA:14570916;HTRIdb:14570916;CollecTRI:14570916	A	7
P10914	Q13867	IRF1	BLMH	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:21190945;CollecTRI2:21190945;DoRothEA:21190945;HTRIdb:21190945	D	4
P10914	P04839	IRF1	CYBB	True	True	False	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	DoRothEA:9593745;TRRUST:9593745;CollecTRI2:9593745;CollecTRI2:11483597;CollecTRI2:10570299;CollecTRI:9593745;HTRIdb:9593745;CollecTRI2:11781315;CollecTRI2:8798551	A	9
P14316	P13688	IRF2	CEACAM1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:21050451;HTRIdb:21050451;DoRothEA:21050451;CollecTRI2:21050451	C	4
P14316	Q13867	IRF2	BLMH	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:21190945;CollecTRI2:21190945;DoRothEA:21190945;HTRIdb:21190945	D	4
O14896	P42771	IRF6	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
O14896	Q8N726	IRF6	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
